"REGION","CLIMATE","STATE","TOTAL_HOUSEHOLDS","HEATER_FUEL_TYPE","NUM_HOUSEHOLDS","PERCENTAGE"
"WEST","COLD","IDAHO",656511,"WOOD OR PELLETS",41659,6.3
"WEST","COLD","IDAHO",656511,"OTHER",0,0
"MIDWEST","COLD","ILLINOIS",4900521,"DO NOT USE HEATER",42777,0.9
"MIDWEST","COLD","ILLINOIS",4900521,"NATURAL GAS",3839128,78.3
"MIDWEST","COLD","ILLINOIS",4900521,"PROPANE",176317,3.6
"MIDWEST","COLD","ILLINOIS",4900521,"FUEL OIL",0,0
"MIDWEST","COLD","ILLINOIS",4900521,"ELECTRICITY",811311,16.6
"MIDWEST","COLD","ILLINOIS",4900521,"WOOD OR PELLETS",30988,0.6
"MIDWEST","COLD","ILLINOIS",4900521,"OTHER",0,0
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"DO NOT USE HEATER",10427,0.4
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"NATURAL GAS",1685097,64.8
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"PROPANE",188856,7.3
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"FUEL OIL",5133,0.2
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"ELECTRICITY",677924,26.1
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"WOOD OR PELLETS",32160,1.2
"MIDWEST","MIXED-HUMID","INDIANA",2599597,"OTHER",0,0
"MIDWEST","COLD","IOWA",1281948,"DO NOT USE HEATER",0,0
"MIDWEST","COLD","IOWA",1281948,"NATURAL GAS",906128,70.7
"MIDWEST","COLD","IOWA",1281948,"PROPANE",160277,12.5
"MIDWEST","COLD","IOWA",1281948,"FUEL OIL",4467,0.3
"MIDWEST","COLD","IOWA",1281948,"ELECTRICITY",203665,15.9
"MIDWEST","COLD","IOWA",1281948,"WOOD OR PELLETS",7411,0.6
"MIDWEST","COLD","IOWA",1281948,"OTHER",0,0
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"DO NOT USE HEATER",0,0
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"NATURAL GAS",800994,71.1
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"PROPANE",69706,6.2
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"FUEL OIL",0,0
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"ELECTRICITY",233846,20.8
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"WOOD OR PELLETS",22526,2
"MIDWEST","MIXED-HUMID","KANSAS",1127072,"OTHER",0,0
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"DO NOT USE HEATER",10032,0.6
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"NATURAL GAS",755736,43.5
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"PROPANE",65386,3.8
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"FUEL OIL",21041,1.2
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"ELECTRICITY",844949,48.6
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"WOOD OR PELLETS",36413,2.1
"SOUTH","MIXED-HUMID","KENTUCKY",1738263,"OTHER",4706,0.3
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"DO NOT USE HEATER",51528,3
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"NATURAL GAS",576874,33.4
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"PROPANE",12007,0.7
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"FUEL OIL",0,0
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"ELECTRICITY",1063805,61.6
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"WOOD OR PELLETS",23011,1.3
"SOUTH","HOT-HUMID","LOUISIANA",1727226,"OTHER",0,0
"NORTHEAST","COLD","MAINE",564535,"DO NOT USE HEATER",0,0
"NORTHEAST","COLD","MAINE",564535,"NATURAL GAS",98782,17.5
"NORTHEAST","COLD","MAINE",564535,"PROPANE",91144,16.1
"NORTHEAST","COLD","MAINE",564535,"FUEL OIL",274333,48.6
"NORTHEAST","COLD","MAINE",564535,"ELECTRICITY",56492,10
"NORTHEAST","COLD","MAINE",564535,"WOOD OR PELLETS",43784,7.8
"NORTHEAST","COLD","MAINE",564535,"OTHER",0,0
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"DO NOT USE HEATER",43185,1.9
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"NATURAL GAS",1108123,48.6
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"PROPANE",14733,0.7
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"FUEL OIL",151461,6.6
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"ELECTRICITY",945503,41.5
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"WOOD OR PELLETS",18330,0.8
"SOUTH","MIXED-HUMID","MARYLAND",2281335,"OTHER",0,0
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"DO NOT USE HEATER",10323,0.4
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"NATURAL GAS",1450702,53.5
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"PROPANE",69498,2.6
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"FUEL OIL",662489,24.4
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"ELECTRICITY",469296,17.3
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"WOOD OR PELLETS",51470,1.9
"NORTHEAST","COLD","MASSACHUSETTS",2713778,"OTHER",0,0
"MIDWEST","COLD","MICHIGAN",3918917,"DO NOT USE HEATER",0,0
"MIDWEST","COLD","MICHIGAN",3918917,"NATURAL GAS",3008779,76.8
"MIDWEST","COLD","MICHIGAN",3918917,"PROPANE",333158,8.5
"MIDWEST","COLD","MICHIGAN",3918917,"FUEL OIL",78963,2
"MIDWEST","COLD","MICHIGAN",3918917,"ELECTRICITY",378025,9.7
"MIDWEST","COLD","MICHIGAN",3918917,"WOOD OR PELLETS",119993,3.1
"MIDWEST","COLD","MICHIGAN",3918917,"OTHER",0,0
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"DO NOT USE HEATER",0,0
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"NATURAL GAS",1517719,68.1
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"PROPANE",323706,14.5
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"FUEL OIL",28106,1.3
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"ELECTRICITY",316778,14.2
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"WOOD OR PELLETS",43475,2
"MIDWEST","VERY-COLD","MINNESOTA",2229783,"OTHER",0,0
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"DO NOT USE HEATER",4746,0.4
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"NATURAL GAS",343797,31.7
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"PROPANE",113874,10.5
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"FUEL OIL",6673,0.6
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"ELECTRICITY",607433,56
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"WOOD OR PELLETS",8011,0.7
"SOUTH","MIXED-HUMID","MISSISSIPPI",1084534,"OTHER",0,0
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"DO NOT USE HEATER",15343,0.6
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"NATURAL GAS",1438212,59.2
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"PROPANE",160653,6.6
"MIDWEST","MIXED-HUMID","MISSOURI",2429813,"FUEL OIL",0,0
