"REGION","CLIMATE","STATE","TOTAL_HOUSEHOLDS","HEATER_FUEL_TYPE","NUM_HOUSEHOLDS","PERCENTAGE"
"SOUTH","MIXED-HUMID","VIRGINIA",3242014,"WOOD OR PELLETS",137626,4.2
"SOUTH","MIXED-HUMID","VIRGINIA",3242014,"OTHER",0,0
"WEST","COLD","WASHINGTON",2939032,"DO NOT USE HEATER",69979,2.4
"WEST","COLD","WASHINGTON",2939032,"NATURAL GAS",1085612,36.9
"WEST","COLD","WASHINGTON",2939032,"PROPANE",55695,1.9
"WEST","COLD","WASHINGTON",2939032,"FUEL OIL",5687,0.2
"WEST","COLD","WASHINGTON",2939032,"ELECTRICITY",1629942,55.5
"WEST","COLD","WASHINGTON",2939032,"WOOD OR PELLETS",92118,3.1
"WEST","COLD","WASHINGTON",2939032,"OTHER",0,0
"SOUTH","COLD","WEST VIRGINIA",696161,"DO NOT USE HEATER",3936,0.6
"SOUTH","COLD","WEST VIRGINIA",696161,"NATURAL GAS",301583,43.3
"SOUTH","COLD","WEST VIRGINIA",696161,"PROPANE",28022,4
"SOUTH","COLD","WEST VIRGINIA",696161,"FUEL OIL",18190,2.6
"SOUTH","COLD","WEST VIRGINIA",696161,"ELECTRICITY",310777,44.6
"SOUTH","COLD","WEST VIRGINIA",696161,"WOOD OR PELLETS",33653,4.8
"SOUTH","COLD","WEST VIRGINIA",696161,"OTHER",0,0
"MIDWEST","COLD","WISCONSIN",2388876,"DO NOT USE HEATER",15760,0.7
"MIDWEST","COLD","WISCONSIN",2388876,"NATURAL GAS",1705772,71.4
"MIDWEST","COLD","WISCONSIN",2388876,"PROPANE",240096,10.1
"MIDWEST","COLD","WISCONSIN",2388876,"FUEL OIL",29747,1.2
"MIDWEST","COLD","WISCONSIN",2388876,"ELECTRICITY",332123,13.9
"MIDWEST","COLD","WISCONSIN",2388876,"WOOD OR PELLETS",65378,2.7
"MIDWEST","COLD","WISCONSIN",2388876,"OTHER",0,0
"WEST","COLD","WYOMING",226146,"DO NOT USE HEATER",0,0
"WEST","COLD","WYOMING",226146,"NATURAL GAS",159532,70.5
"WEST","COLD","WYOMING",226146,"PROPANE",18198,8.1
"WEST","COLD","WYOMING",226146,"FUEL OIL",0,0
"WEST","COLD","WYOMING",226146,"ELECTRICITY",40122,17.7
"WEST","COLD","WYOMING",226146,"WOOD OR PELLETS",8295,3.7
"WEST","COLD","WYOMING",226146,"OTHER",0,0
